Freq [GHz],"re(St(M4_p_T1,M4_p_T1)) []","im(St(M4_p_T1,M4_p_T1)) []","re(St(M4_p_T1,M4_n_T1)) []","im(St(M4_p_T1,M4_n_T1)) []","re(St(M4_p_T1,M3_p_T1)) []","im(St(M4_p_T1,M3_p_T1)) []","re(St(M4_p_T1,M3_n_T1)) []","im(St(M4_p_T1,M3_n_T1)) []","re(St(M4_n_T1,M4_p_T1)) []","im(St(M4_n_T1,M4_p_T1)) []","re(St(M4_n_T1,M4_n_T1)) []","im(St(M4_n_T1,M4_n_T1)) []","re(St(M4_n_T1,M3_p_T1)) []","im(St(M4_n_T1,M3_p_T1)) []","re(St(M4_n_T1,M3_n_T1)) []","im(St(M4_n_T1,M3_n_T1)) []","re(St(M3_p_T1,M4_p_T1)) []","im(St(M3_p_T1,M4_p_T1)) []","re(St(M3_p_T1,M4_n_T1)) []","im(St(M3_p_T1,M4_n_T1)) []","re(St(M3_p_T1,M3_p_T1)) []","im(St(M3_p_T1,M3_p_T1)) []","re(St(M3_p_T1,M3_n_T1)) []","im(St(M3_p_T1,M3_n_T1)) []","re(St(M3_n_T1,M4_p_T1)) []","im(St(M3_n_T1,M4_p_T1)) []","re(St(M3_n_T1,M4_n_T1)) []","im(St(M3_n_T1,M4_n_T1)) []","re(St(M3_n_T1,M3_p_T1)) []","im(St(M3_n_T1,M3_p_T1)) []","re(St(M3_n_T1,M3_n_T1)) []","im(St(M3_n_T1,M3_n_T1)) []"
20,-0.002566648989019,-0.016247727912872,0.968761603993681,-0.185861722189152,0.012663845187051,0.050832389280276,0.022987230653135,0.103533601409408,0.968761603993682,-0.185861722189149,-0.00261915599338,-0.01620825083643,0.022996530643071,0.103529246777504,0.012682521825186,0.050800377836846,0.012663845187051,0.050832389280276,0.022996530643076,0.1035292467775,-0.003983616831833,-0.032233050578622,0.961249371829167,-0.207510078728123,0.022987230653136,0.103533601409407,0.012682521825186,0.050800377836846,0.961249371829173,-0.207510078728131,-0.003982125347022,-0.032211613739633
21,-0.003387074059371,-0.017130312299711,0.966066680136812,-0.194829369367712,0.014040258729263,0.053285229117915,0.025311461946459,0.108498754882057,0.966066680136813,-0.194829369367709,-0.003444549300592,-0.01708793210466,0.025321716997337,0.108493854234957,0.014060445657718,0.053251331558813,0.014040258729263,0.053285229117915,0.025321716997342,0.108493854234952,-0.005249717590707,-0.033825061673456,0.958086087664887,-0.217544487430547,0.02531146194646,0.108498754882056,0.014060445657718,0.053251331558813,0.958086087664892,-0.217544487430556,-0.00524797373905,-0.033802908463343
22,-0.004262717547704,-0.018006574063105,0.963247969978141,-0.203761934085899,0.015489963436862,0.055720737919088,0.027751221824211,0.113433397465346,0.963247969978142,-0.203761934085896,-0.004325429997779,-0.017961117151447,0.027762467552702,0.113427902141222,0.015511787952155,0.05568487313715,0.015489963436863,0.055720737919088,0.027762467552706,0.113427902141217,-0.006588766279679,-0.035399049239588,0.95477130413285,-0.227539733204115,0.027751221824212,0.113433397465345,0.015511787952155,0.05568487313715,0.954771304132854,-0.227539733204123,-0.006586829532145,-0.035376167565256
23,-0.005194144475008,-0.018875309475999,0.960305212134716,-0.212658089827313,0.017013462513893,0.0581376046497,0.030306964751633,0.118335717624026,0.960305212134717,-0.212658089827311,-0.005262356991406,-0.018826587012152,0.030319235462351,0.11832957703112,0.017037048357112,0.058099676545857,0.017013462513893,0.0581376046497,0.030319235462354,0.118329577031115,-0.008001106915934,-0.036953666325875,0.951304434148076,-0.237493554919625,0.030306964751633,0.118335717624025,0.017037048357112,0.058099676545857,0.951304434148079,-0.237493554919634,-0.0079990340886,-0.036930034835977
24,-0.006181952721466,-0.019735269749934,0.957238111731709,-0.221516458016174,0.018611276688173,0.06053447306549,0.032979140199915,0.123203844791945,0.95723811173171,-0.221516458016172,-0.006255921535602,-0.01968307844563,0.032992468834831,0.12319700635222,0.018636742777918,0.060494371642791,0.018611276688174,0.06053447306549,0.032992468834834,0.123197006352215,-0.00948715115744,-0.038487504282321,0.947684939593686,-0.247403638370772,0.032979140199916,0.123203844791944,0.018636742777918,0.060494371642791,0.947684939593688,-0.24740363837078,-0.009484996037904,-0.03846309309465
25,-0.007226762666803,-0.020585155346101,0.954046342931734,-0.230335599921289,0.02028394134698,0.062909936371488,0.035768191416053,0.128035848284013,0.954046342931736,-0.230335599921287,-0.00730673694376,-0.020529278099884,0.035782609488648,0.128028257384586,0.020311400793893,0.062867538774996,0.02028394134698,0.062909936371488,0.03578260948865,0.128028257384581,-0.011047363269401,-0.039999084918291,0.943912322851317,-0.257267615591988,0.035768191416053,0.128035848284012,0.020311400793893,0.062867538774996,0.943912322851318,-0.257267615591996,-0.011045176285876,-0.039973856217522
26,-0.008329208405054,-0.021423612161055,0.950729553000902,-0.239114009837851,0.022032003275531,0.06526253247075,0.038674553855678,0.132829735834828,0.950729553000903,-0.23911400983785,-0.008415429838668,-0.021363818584278,0.03869009137266,0.132821335787313,0.022061562612946,0.065217703950914,0.022032003275532,0.06526253247075,0.038690091372661,0.132821335787308,-0.012682247046609,-0.041486854781143,0.939986120904818,-0.267083062861202,0.038674553855678,0.132829735834827,0.022061562612946,0.065217703950914,0.939986120904819,-0.26708306286121,-0.012680074958055,-0.041460763322193
27,-0.00948993031069,-0.022249228939531,0.947287367370304,-0.247850109468437,0.023856017095007,0.067590739716831,0.041698653272255,0.137583451882451,0.947287367370306,-0.247850109468436,-0.009582632731192,-0.022185275796617,0.041715338644955,0.13757418389019,0.023887775672291,0.06754333450775,0.023856017095008,0.067590739716831,0.041715338644956,0.137574183890185,-0.014392334346768,-0.042949180913476,0.935905901562921,-0.276847497909801,0.041698653272255,0.137583451882449,0.023887775672291,0.06754333450775,0.935905901562921,-0.276847497909809,-0.014390219942242,-0.042922174458021
28,-0.010709568718371,-0.023060535458685,0.943719395305024,-0.256542243377837,0.025756541462582,0.069892973096319,0.044840903466762,0.14229487568873,0.943719395305026,-0.256542243377836,-0.010808977698733,-0.022992167045,0.044858763413814,0.142284678821836,0.025790590958593,0.06984283520898,0.025756541462582,0.069892973096319,0.044858763413814,0.142284678821831,-0.016178174927526,-0.044384347642687,0.931671261427987,-0.28655837669418,0.044840903466762,0.142294875688729,0.025790590958593,0.06984283520898,0.931671261427987,-0.286558376694187,-0.016176156729023,-0.04435636734987
29,-0.011988758487556,-0.02385600116921,0.940025235909285,-0.265188675378911,0.027734135071951,0.07216758078061,0.048101703707182,0.146961819367146,0.940025235909286,-0.265188675378911,-0.012095090940692,-0.023782949645664,0.048120763149735,0.146950630545277,0.027770559095289,0.072114544716301,0.027734135071951,0.07216758078061,0.048120763149735,0.146950630545273,-0.018040327322237,-0.045790554093508,0.927281825308421,-0.296213089969725,0.048101703707182,0.146961819367145,0.027770559095289,0.072114544716301,0.927281825308419,-0.296213089969731,-0.01803843928897,-0.045761534880584
30,-0.01332812424369,-0.024634034081671,0.936204484284009,-0.273787585706836,0.029789352476304,0.074412840998567,0.051481435829025,0.151582025873983,0.93620448428401,-0.273787585706835,-0.013441588006657,-0.024556019781487,0.051501717779475,0.151569779856815,0.029828226226674,0.074356732390476,0.029789352476304,0.074412840998567,0.051501717779475,0.151569779856811,-0.019979350530141,-0.047165912210466,0.922737246831228,-0.305808959831178,0.051481435829024,0.151582025873982,0.029828226226674,0.074356732390476,0.922737246831226,-0.305808959831185,-0.01997762176431,-0.047135783094966
31,-0.01472827611306,-0.025392979761134,0.932256737718207,-0.28233706884936,0.031922739744566,0.076626959192991,0.054980461028264,0.15615316700749,0.932256737718208,-0.28233706884936,-0.014849069516951,-0.025309711481021,0.05500198647331,0.156139796392885,0.031964129715743,0.076567595385228,0.031922739744567,0.076626959192991,0.055001986473309,0.156139796392881,-0.02199579633318,-0.048508445145159,0.918037210059447,-0.315343236331187,0.054980461028264,0.15615316700749,0.031964129715743,0.076567595385228,0.918037210059445,-0.315343236331193,-0.02199425078836,-0.048477129576944
32,-0.016189805794523,-0.026131120346861,0.928181601843346,-0.290835131916138,0.034134829954403,0.078808065433719,0.058599116357249,0.160672841451671,0.928181601843347,-0.290835131916138,-0.016318117220363,-0.026042295632254,0.058621904135954,0.160658276681562,0.034178793664179,0.078745256007318,0.034134829954404,0.078808065433719,0.058621904135953,0.160658276681558,-0.024090202083148,-0.049816085911565,0.913181431958171,-0.324813094253605,0.058599116357249,0.16067284145167,0.034178793664179,0.078745256007318,0.913181431958169,-0.32481309425361,-0.024088858276921,-0.049783502100676
33,-0.01771328283633,-0.026846673552312,0.923978696714186,-0.29927969344779,0.036426138520887,0.080954212068671,0.062337710932981,0.165138572895586,0.923978696714187,-0.29927969344779,-0.017849290258225,-0.026751978984193,0.062361777610435,0.165122742269658,0.03647272425722,0.080887759323842,0.036426138520887,0.080954212068671,0.062361777610434,0.165122742269655,-0.026263083829574,-0.051086676247102,0.908169665584264,-0.334215630094414,0.062337710932981,0.165138572895586,0.03647272425722,0.080887759323842,0.908169665584262,-0.334215630094419,-0.026261954562109,-0.05105273749149
34,-0.019299251009001,-0.027537791627817,0.919647662803696,-0.307668582583222,0.038797158356972,0.083063371601372,0.066196521865916,0.169547808255114,0.919647662803697,-0.307668582583222,-0.019443121526313,-0.027436903116975,0.066221881603017,0.169530637952363,0.038846404932528,0.0829930710047,0.038797158356972,0.083063371601372,0.066221881603016,0.169530637952361,-0.028514929681047,-0.052317965642063,0.903001703899883,-0.343547859287364,0.066196521865916,0.169547808255114,0.038846404932528,0.0829930710047,0.903001703899881,-0.343547859287368,-0.028514021761239,-0.052282580657937
