frequency,s11_real,s11_imag,s12_real,s12_imag,s13_real,s13_imag,s14_real,s14_imag,s21_real,s21_imag,s22_real,s22_imag,s23_real,s23_imag,s24_real,s24_imag,s31_real,s31_imag,s32_real,s32_imag,s33_real,s33_imag,s34_real,s34_imag,s41_real,s41_imag,s42_real,s42_imag,s43_real,s43_imag,s44_real,s44_imag
20,-0.7952006830470006,0.346438636730593,0.1629716445289054,0.17182277417831116,-0.15764424901453894,-0.1680491975867952,-0.14876425360409712,-0.13888641964228768,0.162971644528919,0.17182277417815447,-0.7952234637590948,0.3464673289848931,-0.1487605105931039,-0.1387962209154753,-0.15768901366924762,-0.16799430931990084,-0.15764424901426052,-0.16804919758675468,-0.14876051059283543,-0.13879622091544636,-0.7674439064331648,0.356755014191308,0.17049879679995433,0.1778291683239006,-0.1487642536037838,-0.13888641964225093,-0.15768901366894456,-0.1679943093198744,0.17049879679992874,0.1778291683238089,-0.7674756123051484,0.35678174416565245
21,-0.782280609637118,0.3570365769027489,0.17405802390317102,0.17418521458883313,-0.16892334908271922,-0.1701375734858961,-0.1594647556912293,-0.1396374327239962,0.17405802390315933,0.17418521458868472,-0.7823093475637345,0.35706926513567094,-0.1594578512271818,-0.13954242293482996,-0.16896586221535242,-0.17007877769791768,-0.16892334908246243,-0.17013757348590286,-0.15945785122693662,-0.13954242293484595,-0.7536537499308966,0.3674692482677667,0.1823177556522768,0.18026353771252668,-0.1594647556909397,-0.1396374327240116,-0.1689658622150745,-0.1700787776979409,0.18231775565223785,0.1802635377124456,-0.7536853798192281,0.3674996889655552
22,-0.7692038377283299,0.3669864773548457,0.18523493743165448,0.1759098706581184,-0.18029558850064248,-0.17157397147834183,-0.17023545877295787,-0.13974148709982895,0.18523493743162073,0.17590987065798092,-0.769238309587685,0.36702405765693935,-0.17022514001150896,-0.1396417342995108,-0.18033561070394943,-0.17151171392852313,-0.18029558850041372,-0.17157397147838616,-0.17022514001129235,-0.1396417342995624,-0.7396884477142847,0.3774969294991991,0.1942483020577181,0.18201707446432788,-0.17023545877269866,-0.13974148709988696,-0.18033561070370252,-0.17151171392858724,0.19424830205766724,0.18201707446425935,-0.7397198516315798,0.37753115650283453
23,-0.7560064605444312,0.3762906957832303,0.19646483620327626,0.1770001545588098,-0.19172282874481336,-0.17236193634521918,-0.18103792866638269,-0.13920239221043276,0.1964648362032263,0.17700015455868803,-0.7560463217790218,0.3763339568048618,-0.18102394023129742,-0.13909797801088244,-0.19176022215038513,-0.17229667103084126,-0.19172282874461605,-0.17236193634529157,-0.18102394023111085,-0.13909797801095872,-0.7255853895031927,0.38683995157772916,0.20625064348536548,0.18309297923449905,-0.18103792866615884,-0.13920239221052264,-0.1917602221501722,-0.17229667103093388,0.20625064348530764,0.18309297923444584,-0.725616393468834,0.3868780668589873
24,-0.7427239473969083,0.38495404078874795,0.20771105153935926,0.17746192553627324,-0.2031678368892443,-0.1725073973313285,-0.1918346840665957,-0.1380263455386884,0.2077110515392963,0.17746192553616746,-0.742768766585892,0.3850036570816784,-0.19181676871731212,-0.13791736714184466,-0.20320255570989731,-0.1724395675354248,-0.2031678368890792,-0.17250739733141984,-0.19181676871715742,-0.1379173671419377,-0.7113813735600483,0.39550268404216105,0.21828598816328226,0.18349692592895578,-0.19183468406640794,-0.13802634553879967,-0.2032025557097196,-0.17243956753553677,0.2182859881632228,0.1834969259289137,-0.711411770420044,0.3955448033459238
25,-0.7293909053399513,0.3929836329765283,0.21893798811388937,0.17730333941455875,-0.21459445871885996,-0.17201853497905084,-0.20258936002016528,-0.1362217960800956,0.21893798811381732,0.17730333941447202,-0.7294401942169428,0.3930401655761574,-0.20256726015186474,-0.13610836805228455,-0.21462653799551462,-0.171948558575693,-0.2145944587187264,-0.17201853497915376,-0.20256726015174092,-0.1361083680523883,-0.6971123624666749,0.403491840893815,0.23031671618069005,0.18323690741695525,-0.20258936002001343,-0.13622179608022034,-0.21462653799537212,-0.1719485585758177,0.23031671618062996,0.18323690741692694,-0.6971419076485353,0.40353808078459674
26,-0.7160408787504854,0.40038875127092055,0.2301112875261548,0.17653468818379678,-0.22596776992295067,-0.17090563739103218,-0.21326685118839417,-0.13379929882775055,0.2301112875260768,0.17653468818372683,-0.7160941173699525,0.4004526533988968,-0.21324031095678903,-0.13368155440259716,-0.22599731344623897,-0.17083389593496362,-0.22596776992284806,-0.17090563739114062,-0.21324031095669438,-0.13368155440270424,-0.6828132771225464,0.41081633210090535,0.24230652506436007,0.1823230734944729,-0.2132668511882766,-0.13379929882788247,-0.22599731344612917,-0.17083389593509307,0.2423065250642999,0.182323073494455,-0.682841688446831,0.4108667978554929
27,-0.7027061825493487,0.40718066982493273,0.24119796507121452,0.1751682334439198,-0.2372542062515573,-0.16918094868526723,-0.22383343557331312,-0.13077136252369406,0.24119796507113633,0.17516823344386612,-0.7027628395905869,0.40725229595565665,-0.22380220342138482,-0.13064945431023045,-0.23728137435772934,-0.16910777977333086,-0.23725420625147992,-0.1691809486853748,-0.2238022034213144,-0.130649454310337,-0.6685178248524389,0.4174871039931755,0.25422055193874804,0.18076756422572127,-0.22383343557322455,-0.13077136252382432,-0.2372813743576477,-0.16910777977345853,0.25422055193869275,0.18076756422571516,-0.6685447854685838,0.4175418790901023
28,-0.6894177653255446,0.4133724896160373,0.2521665221586563,0.17321803668580918,-0.2484216735367299,-0.1668585121181746,-0.23425687939268433,-0.12715229277948037,0.25216652215858104,0.17321803668576968,-0.6894773138126522,0.41345210649803094,-0.2342207107649154,-0.12702639282901293,-0.24844667126697395,-0.1667842045163918,-0.2484216735366763,-0.16685851211827796,-0.23422071076486678,-0.12702639282911407,-0.6542583579347592,0.4235169731039723,0.26602547419317935,0.17858434114668292,-0.23425687939262274,-0.12715229277960508,-0.2484466712669167,-0.166784204516513,0.2660254741931288,0.17858434114668484,-0.6542835214882624,0.42357611071877654
29,-0.6762050991010342,0.4189789678825696,0.2629870365826618,0.17069978880167358,-0.25943963852873186,-0.1639540100946304,-0.2445065238495372,-0.12295803251728447,0.2629870365825898,0.17069978880164716,-0.6762670279920373,0.41906676642038854,-0.2444651839024632,-0.12282833176251233,-0.25946270448019965,-0.1638788011567924,-0.25943963852869695,-0.1639540100947268,-0.24446518390243246,-0.12282833176260613,-0.6400657592729925,0.4289204569543233,0.27768959041306224,0.1757890183397444,-0.24450652384949756,-0.12295803251740119,-0.25946270448016373,-0.16387880115690542,0.2776895904130161,0.17578901833975402,-0.6400887565047629,0.42898397361157614
